series,model,n_total,n_excluded_oor_gt_0.5,n_kept,grid_clamps_median,grid_clamps_max,oor_median,oor_max,n_diverged,nrmse150_median_all,vpt_median_all,nrmse150_median_kept,vpt_median_kept,nrmse150_median_delta,vpt_median_delta
MG_standard,AB-Markov,20,0,20,0.0,0,0.0,0.0,0,0.9807905870220016,2.0,0.9807905870220016,2.0,0.0,0.0
MG_standard,AB-embedded,20,1,19,0.0,859,0.006,0.865,0,0.8435760621559751,42.0,0.785863328382488,42.0,-0.05771273377348718,0.0
MG_standard,AB-noaux-kraus,20,20,0,0.0,0,0.597,0.653,1,2.427384016261893,4.0,,,,
MG_standard,ABC-Markov,20,0,20,0.0,0,0.0,0.0,0,0.9808963319100872,2.0,0.9808963319100872,2.0,0.0,0.0
MG_standard,ABC-embedded-C-off,20,0,20,0.0,0,0.0,0.0,0,0.7201679606247811,2.0,0.7201679606247811,2.0,0.0,0.0
MG_standard,ABC-embedded-hierarchical,20,1,19,0.0,939,0.0485,0.95,2,1.267403134602349,28.0,1.263776247651062,28.0,-0.0036268869512872115,0.0
MG_standard,ABC-embedded-parallel,20,0,20,0.0,131,0.019,0.423,0,1.2423222708867654,28.5,1.2423222708867654,28.5,0.0,0.0
MG_standard,ABC-embedded-tied,20,2,18,0.0,659,0.013000000000000001,0.783,0,1.0575023587336836,35.5,1.043721205289771,36.0,-0.013781153443912508,0.5
MG_standard,ABC-noaux-hierarchical,20,10,10,0.0,0,0.4975,0.921,3,0.8348771056296919,1.0,0.7798165179387553,1.0,-0.05506058769093658,0.0
MG_standard,ABC-noaux-kraus,20,10,10,0.0,0,0.4975,0.921,3,0.8348771056296919,1.0,0.7798165179387553,1.0,-0.05506058769093658,0.0
MG_standard,ABC-noaux-shuffled-history,20,0,20,0.0,0,0.0365,0.225,1,1.3245931655130776,3.0,1.3245931655130776,3.0,0.0,0.0
MG_standard,ABC-noaux-tied,20,0,20,0.0,0,0.007,0.125,0,0.6620952081053564,42.5,0.6620952081053564,42.5,0.0,0.0
MG_standard,M0-noaux,20,19,1,0.0,0,0.756,0.977,19,5.017518910084286,12.0,1.512073237797085,15.0,-3.505445672287201,3.0
MG_two_delay,AB-Markov,20,0,20,0.0,0,0.0,0.0,0,0.3804118495183903,3.0,0.3804118495183903,3.0,0.0,0.0
MG_two_delay,AB-embedded,20,0,20,0.0,0,0.027,0.039,0,0.006172866329259501,1000.0,0.006172866329259501,1000.0,0.0,0.0
MG_two_delay,AB-noaux-kraus,20,1,19,0.0,0,0.0025,0.797,0,0.0423836580783571,634.5,0.041286094151027,656.0,-0.0010975639273301044,21.5
MG_two_delay,ABC-Markov,20,0,20,0.0,0,0.0,0.0,0,0.3804825123724943,3.0,0.3804825123724943,3.0,0.0,0.0
MG_two_delay,ABC-embedded-C-off,20,0,20,0.0,0,0.011,0.069,0,0.0272210739308756,1000.0,0.0272210739308756,1000.0,0.0,0.0
MG_two_delay,ABC-embedded-hierarchical,20,0,20,0.0,0,0.0405,0.077,0,0.01583621634815855,1000.0,0.01583621634815855,1000.0,0.0,0.0
MG_two_delay,ABC-embedded-parallel,20,0,20,0.0,0,0.029,0.061,0,0.017748550028653103,1000.0,0.017748550028653103,1000.0,0.0,0.0
MG_two_delay,ABC-embedded-tied,20,8,12,0.0,955,0.0395,0.961,0,0.1963324878093104,86.0,0.09522021849204745,182.0,-0.10111226931726294,96.0
MG_two_delay,ABC-noaux-hierarchical,20,0,20,0.0,0,0.0,0.312,0,0.01702665147976315,1000.0,0.01702665147976315,1000.0,0.0,0.0
MG_two_delay,ABC-noaux-kraus,20,0,20,0.0,0,0.0,0.312,0,0.01702665147976315,1000.0,0.01702665147976315,1000.0,0.0,0.0
MG_two_delay,ABC-noaux-shuffled-history,20,0,20,0.0,0,0.1175,0.419,0,1.3447734580848336,1.0,1.3447734580848336,1.0,0.0,0.0
MG_two_delay,ABC-noaux-tied,20,20,0,0.0,0,0.8394999999999999,0.854,13,2.9550687732372634,1.0,,,,
MG_two_delay,M0-noaux,20,1,19,0.0,0,0.0375,0.668,1,0.0138130604264765,551.0,0.0130969699195982,704.0,-0.0007160905068783006,153.0
