gamma,eta,omega,objective,obj_tau_lo,obj_tau_hi
0.02,0.7853981633974483,0.1,0.9191660947972112,18,80
0.02,0.7853981633974483,0.2,0.17996944412358826,18,80
0.02,0.7853981633974483,0.3,0.05995654918228706,18,80
0.02,0.7853981633974483,0.4,0.0628766066003564,18,80
0.02,0.7853981633974483,0.5,0.0658650402463668,18,80
0.02,0.7853981633974483,0.6,0.06540791828205761,18,80
0.02,0.7853981633974483,0.7,0.06348670883427678,18,80
0.02,0.7853981633974483,0.8,0.06057607982380232,18,80
0.02,0.7853981633974483,0.9,0.06212692516986336,18,80
0.05,0.7853981633974483,0.1,0.44877826396871284,20,80
0.05,0.7853981633974483,0.2,0.0860833349716638,20,80
0.05,0.7853981633974483,0.3,0.052923887087388946,20,80
0.05,0.7853981633974483,0.4,0.053974091984858294,20,80
0.05,0.7853981633974483,0.5,0.05872009824511613,20,80
0.05,0.7853981633974483,0.6,0.06196240716384782,20,80
0.05,0.7853981633974483,0.7,0.061480636215588115,20,80
0.05,0.7853981633974483,0.8,0.0604895978746892,20,80
0.05,0.7853981633974483,0.9,0.06309505579976167,20,80
0.1,0.39269908169872414,0.1,0.3759491200531116,20,80
0.1,0.39269908169872414,0.2,0.12820857821182227,20,80
0.1,0.39269908169872414,0.3,0.0692501558489377,20,80
0.1,0.39269908169872414,0.4,0.06573328709409479,20,80
0.1,0.39269908169872414,0.5,0.06577841582247154,20,80
0.1,0.39269908169872414,0.6,0.06069041563751081,20,80
0.1,0.39269908169872414,0.7,0.05406444470146986,20,80
0.1,0.39269908169872414,0.8,0.05067364650047695,20,80
0.1,0.39269908169872414,0.9,0.050023543190956477,20,80
0.1,0.7853981633974483,0.1,0.3171273296239894,20,80
0.1,0.7853981633974483,0.2,0.07808531918951561,20,80
0.1,0.7853981633974483,0.3,0.05327760209565233,20,80
0.1,0.7853981633974483,0.4,0.050927580039937345,20,80
0.1,0.7853981633974483,0.5,0.053363704805624815,20,80
0.1,0.7853981633974483,0.6,0.05864369402034782,20,80
0.1,0.7853981633974483,0.7,0.06053180213625711,20,80
0.1,0.7853981633974483,0.8,0.06259768959543369,20,80
0.1,0.7853981633974483,0.9,0.06517431714240875,20,80
0.1,1.1780972450961724,0.1,0.4613097172321673,20,80
0.1,1.1780972450961724,0.2,0.07207916221807031,20,80
0.1,1.1780972450961724,0.3,0.05365897525775249,20,80
0.1,1.1780972450961724,0.4,0.061001995148058666,20,80
0.1,1.1780972450961724,0.5,0.0629515798707129,20,80
0.1,1.1780972450961724,0.6,0.06316221857110088,20,80
0.1,1.1780972450961724,0.7,0.06585192128024472,20,80
0.1,1.1780972450961724,0.8,0.06326888492388553,20,80
0.1,1.1780972450961724,0.9,0.06285816577048893,20,80
