series,model,oor_bin,n,n_tf_ok,median_nrmse_150,median_vpt,median_grid_clamps,max_grid_clamps
standard,AB-noaux-kraus,OOR>0.5,20,0,2.427384016261893,4.0,0.0,0
standard,M0-noaux,OOR<=0.5,1,1,1.512073237797085,15.0,0.0,0
standard,M0-noaux,OOR>0.5,19,19,5.329722821567279,11.0,0.0,0
standard,ABC-noaux-kraus,OOR<=0.5,10,0,0.7798165179387553,1.0,0.0,0
standard,ABC-noaux-kraus,OOR>0.5,10,0,1.354134566905941,1.0,0.0,0
standard,ABC-noaux-hierarchical,OOR<=0.5,10,0,0.7798165179387553,1.0,0.0,0
standard,ABC-noaux-hierarchical,OOR>0.5,10,0,1.354134566905941,1.0,0.0,0
standard,ABC-noaux-tied,OOR<=0.5,20,20,0.6620952081053564,42.5,0.0,0
standard,AB-embedded,OOR<=0.5,19,19,0.785863328382488,42.0,0.0,104
standard,AB-embedded,OOR>0.5,1,1,1.45908548091075,42.0,859.0,859
standard,AB-Markov,OOR<=0.5,20,0,0.9807905870220016,2.0,0.0,0
standard,ABC-embedded-hierarchical,OOR<=0.5,19,19,1.263776247651062,28.0,0.0,408
standard,ABC-embedded-hierarchical,OOR>0.5,1,1,9.378242569286323,22.0,939.0,939
standard,ABC-embedded-tied,OOR<=0.5,18,18,1.043721205289771,36.0,0.0,0
standard,ABC-embedded-tied,OOR>0.5,2,2,2.304937163890469,13.5,608.5,659
two_delay,AB-noaux-kraus,OOR<=0.5,19,19,0.041286094151027,656.0,0.0,0
two_delay,AB-noaux-kraus,OOR>0.5,1,1,0.4644311498563812,61.0,0.0,0
two_delay,M0-noaux,OOR<=0.5,19,19,0.0130969699195982,704.0,0.0,0
two_delay,M0-noaux,OOR>0.5,1,1,0.2026194409322034,119.0,0.0,0
two_delay,ABC-noaux-kraus,OOR<=0.5,20,20,0.01702665147976315,1000.0,0.0,0
two_delay,ABC-noaux-hierarchical,OOR<=0.5,20,20,0.01702665147976315,1000.0,0.0,0
two_delay,ABC-noaux-tied,OOR>0.5,20,0,2.9550687732372634,1.0,0.0,0
two_delay,AB-embedded,OOR<=0.5,20,20,0.006172866329259501,1000.0,0.0,0
two_delay,AB-Markov,OOR<=0.5,20,20,0.3804118495183903,3.0,0.0,0
two_delay,ABC-embedded-hierarchical,OOR<=0.5,20,20,0.01583621634815855,1000.0,0.0,0
two_delay,ABC-embedded-tied,OOR<=0.5,12,12,0.09522021849204745,182.0,0.0,0
two_delay,ABC-embedded-tied,OOR>0.5,8,8,2.750115490985675,31.5,942.5,955
