phase,seed,model,n_a,max_capacity,mean_capacity,trace_error,min_eig,device,seconds
smoke,9000,M0-noaux,2,0.4138223371156843,0.30312838537699743,0.0,0.035991003932160925,cpu,0.01607656478881836
smoke,9000,AB-noaux-residual,2,0.655454795535251,0.1621245697214152,0.0,0.04530309193655884,cpu,0.0162503719329834
smoke,9000,ABC-noaux-kraus,2,0.9400628279174681,0.210907883260228,0.0,0.1342777510336438,cpu,0.04411506652832031
smoke,9000,AB-embedded,2,0.991449240270649,0.5129092675677515,0.0,0.05157402157783508,cuda,0.22793793678283691
smoke,9000,ABC-embedded-chain,2,0.9947488084567909,0.41746088026181155,0.0,0.012473458424210548,cuda,0.5673108100891113
smoke,9001,M0-noaux,2,0.3072874143966264,0.11355860672804839,0.0,0.017884352154466224,cpu,0.024446725845336914
smoke,9001,AB-noaux-residual,2,0.6946246468966591,0.12726916387140405,0.0,0.03988201570560574,cpu,0.02633190155029297
smoke,9001,ABC-noaux-kraus,2,0.9245170244680997,0.22350938073358917,0.0,0.1241573710553061,cpu,0.07283473014831543
smoke,9001,AB-embedded,2,0.9937003608554749,0.44475689101111576,0.0,0.05062320455908775,cuda,0.3623378276824951
smoke,9001,ABC-embedded-chain,2,0.9943699430864631,0.37122959905431513,0.0,0.012205960229039192,cuda,0.5505921840667725
smoke,9002,M0-noaux,2,0.3738568100278795,0.23916565265721065,0.0,0.014189657653716912,cpu,0.029552459716796875
smoke,9002,AB-noaux-residual,2,0.7909735489827636,0.26777007450050655,0.0,0.03541795085561709,cpu,0.03879857063293457
smoke,9002,ABC-noaux-kraus,2,0.8833304402723621,0.33135065644587985,0.0,0.12436416613633615,cpu,0.11441493034362793
smoke,9002,AB-embedded,2,0.9905920954819288,0.45154823202835587,0.0,0.05115198343992233,cuda,0.39342260360717773
smoke,9002,ABC-embedded-chain,2,0.9937264725352908,0.41962237024420496,0.0,0.012342539615929127,cuda,0.48810744285583496
